HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:44:58
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
2.8010,2.3095,5.8183,0.6437,3.8653,3.4733,3.2132,1.5288,3.6697,1.3968,3.4660,4.7084,2.2577,2.2737,1.6186,0.1757,5.7644,2.1059,2.5940,0.8820,0.9684,1.1690,4.5157,5.2557,2.5654,2.9544,1.4950,2.2084,5.7939,2.5308,0.7750,1.5193,5.2077,4.8064,4.7818,4.2549,1.3184,4.1070,4.3914,1.7931,2.9452,5.2345,2.1536,4.9335,0.5984,1.8171,1.3235,3.2385,1.9866,1.7833,2.1510,2.9001,5.6687,5.6525,5.8479,3.7128,4.9432,0.9743,0.7073,2.4969,3.9856,5.1438,4.6600,1.6686
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.50000000000E+10,-1.52499778591E+01,+1.11351589345E+02,-3.02961164934E+01,-2.84538977571E+00,-2.99447763008E+01,+2.24895239920E+01,-1.50255023844E+01,+1.69584910460E+02
7.50500000000E+10,-1.51846957146E+01,+1.08189914423E+02,-2.98210175981E+01,-1.37009881057E+01,-3.03336907299E+01,+1.25907460844E+01,-1.33885563445E+01,+1.50108475461E+02
7.51000000000E+10,-1.51709291587E+01,+1.05072040976E+02,-2.93970011959E+01,-2.48244296044E+01,-2.96135264997E+01,+1.66405636505E+00,-1.22274772815E+01,+1.29159040396E+02
7.51500000000E+10,-1.50930290577E+01,+1.01694189933E+02,-2.89006912821E+01,-3.69829155835E+01,-2.91247926459E+01,-9.17937193600E+00,-1.14543571992E+01,+1.08112487344E+02
7.52000000000E+10,-1.50702408003E+01,+9.83412673481E+01,-2.85837864413E+01,-4.90813985778E+01,-2.86010167747E+01,-2.12603460726E+01,-1.08982659817E+01,+8.72846046783E+01
7.52500000000E+10,-1.49664317238E+01,+9.50531877358E+01,-2.83000679853E+01,-6.07603236966E+01,-2.83554828704E+01,-3.60322113753E+01,-1.05252844974E+01,+6.63070362327E+01
7.53000000000E+10,-1.48429216460E+01,+9.15971347273E+01,-2.80176380337E+01,-7.31897763274E+01,-2.79145186224E+01,-4.75647363198E+01,-1.02975235101E+01,+4.52786825626E+01
7.53500000000E+10,-1.47330559089E+01,+8.81970589929E+01,-2.78446841243E+01,-8.49590148180E+01,-2.76368228569E+01,-5.70434601023E+01,-1.01781879247E+01,+2.35869402997E+01
7.54000000000E+10,-1.46119206562E+01,+8.48914954205E+01,-2.76472094766E+01,-9.71261711475E+01,-2.72377778149E+01,-7.23070788915E+01,-1.01720765557E+01,+2.15450008587E+00
7.54500000000E+10,-1.44405682606E+01,+8.12394989786E+01,-2.73624462910E+01,-1.09444319248E+02,-2.75064122351E+01,-8.04729561091E+01,-1.01733300215E+01,-2.00665446304E+01
7.55000000000E+10,-1.43400114289E+01,+7.74971895313E+01,-2.72347032586E+01,-1.21446353653E+02,-2.70831093236E+01,-9.29237183377E+01,-1.02110057917E+01,-4.30321056008E+01
7.55500000000E+10,-1.41980751770E+01,+7.38330495844E+01,-2.69757812058E+01,-1.33471979108E+02,-2.66198041089E+01,-1.05968588893E+02,-1.02900688539E+01,-6.66142414242E+01
7.56000000000E+10,-1.41018719259E+01,+7.00016522461E+01,-2.67847222024E+01,-1.45813615611E+02,-2.60318844151E+01,-1.18401645860E+02,-1.03727801296E+01,-9.06853959447E+01
7.56500000000E+10,-1.40528783414E+01,+6.62165625016E+01,-2.67707782323E+01,-1.58763422569E+02,-2.66659050668E+01,-1.33601574662E+02,-1.05038485260E+01,-1.15056685585E+02
